Bacteria	Comparison	p value	mean.diff	FDR
s__Bifidobacterium_dentium	<= 40 vs > 40	7,94E-01	-1,53E-02	8,96E-01
s__Coriobacteriales_bacterium	<= 22 vs > 22	7,94E-01	6,37E-02	8,96E-01
s__Lactobacillus_iners	<= 31 vs > 31	7,95E-01	-1,02E-02	8,96E-01
s__Lactobacillus_iners	<= 38 vs > 38	7,94E-01	-9,54E-03	8,96E-01
s__Lactobacillus_jensenii	<= 20 vs > 20	7,95E-01	-8,52E-02	8,96E-01
s__Lactobacillus_jensenii	<= 33 vs > 33	7,93E-01	1,85E-02	8,96E-01
s__Gardnerella_vaginalis	<= 28 vs > 28	8,01E-01	-1,75E-02	9,00E-01
s__Atopobium_vaginae	<= 31 vs > 31	8,02E-01	1,55E-02	9,00E-01
s__Streptococcus_anginosus	<= 24 vs > 24	8,02E-01	3,14E-02	9,00E-01
s__Anaerococcus_tetradius	<= 31 vs > 31	8,03E-01	-1,84E-02	9,00E-01
s__Fusobacterium_nucleatum	<= 27 vs > 27	8,04E-01	1,62E-02	9,01E-01
s__Streptococcus_anginosus	<= 51 vs > 51	8,05E-01	-1,01E-01	9,01E-01
s__Bifidobacterium_dentium	<= 41 vs > 41	8,15E-01	-1,44E-02	9,11E-01
s__Mageeibacillus_indolicus	<= 21 vs > 21	8,17E-01	6,88E-02	9,11E-01
s__Megasphaera_hutchinsoni	<= 52 vs > 52	8,17E-01	-1,53E-01	9,11E-01
s__Fusobacterium_nucleatum	<= 30 vs > 30	8,18E-01	1,19E-02	9,11E-01
s__Aerococcus_christensenii	<= 38 vs > 38	8,20E-01	1,77E-02	9,13E-01
f__Enterobacteriaceae	<= 20 vs > 20	8,21E-01	6,44E-02	9,13E-01
s__Atopobium_vaginae	<= 22 vs > 22	8,25E-01	4,24E-02	9,16E-01
s__Dialister_micraerophilus	<= 33 vs > 33	8,26E-01	1,75E-02	9,17E-01
s__Lactobacillus_vaginalis	<= 48 vs > 48	8,29E-01	4,05E-02	9,18E-01
s__Allisonella_histaminiformans	<= 51 vs > 51	8,30E-01	1,12E-01	9,18E-01
s__Gardnerella_vaginalis	<= 27 vs > 27	8,33E-01	1,65E-02	9,22E-01
s__Bifidobacterium_dentium	<= 51 vs > 51	8,39E-01	7,40E-02	9,22E-01
s__Prevotella_amnii	<= 22 vs > 22	8,40E-01	-5,40E-02	9,22E-01
s__Lactobacillus_gasseri	<= 27 vs > 27	8,37E-01	-2,64E-02	9,22E-01
s__Lactobacillus_vaginalis	<= 33 vs > 33	8,41E-01	1,72E-02	9,22E-01
s__Finegoldia_magna	<= 41 vs > 41	8,41E-01	-1,17E-02	9,22E-01
s__Veillonella_montpellierensis	<= 26 vs > 26	8,40E-01	2,03E-02	9,22E-01
s__Fusobacterium_nucleatum	<= 47 vs > 47	8,39E-01	1,85E-02	9,22E-01
f__Enterobacteriaceae	<= 51 vs > 51	8,37E-01	8,20E-02	9,22E-01
s__Prevotella_amnii	<= 20 vs > 20	8,45E-01	-7,62E-02	9,23E-01
s__Prevotella_amnii	<= 29 vs > 29	8,44E-01	-2,17E-02	9,23E-01
s__Aerococcus_christensenii	<= 39 vs > 39	8,44E-01	1,58E-02	9,23E-01
s__Mageeibacillus_indolicus	<= 51 vs > 51	8,46E-01	-1,04E-01	9,24E-01
s__Bifidobacterium_breve	<= 34 vs > 34	8,50E-01	-1,30E-02	9,27E-01
s__Gardnerella_vaginalis	<= 33 vs > 33	8,51E-01	9,81E-03	9,27E-01
s__Lactobacillus_iners	<= 39 vs > 39	8,53E-01	-7,03E-03	9,28E-01
s__Aerococcus_christensenii	<= 37 vs > 37	8,54E-01	1,40E-02	9,29E-01
s__Finegoldia_magna	<= 35 vs > 35	8,58E-01	-9,08E-03	9,31E-01
s__Finegoldia_magna	<= 46 vs > 46	8,59E-01	-1,50E-02	9,32E-01
s__Bifidobacterium_dentium	<= 37 vs > 37	8,61E-01	-9,41E-03	9,33E-01
s__Prevotella_amnii	<= 32 vs > 32	8,63E-01	-1,60E-02	9,34E-01
s__Lactobacillus_vaginalis	<= 20 vs > 20	8,66E-01	6,90E-02	9,36E-01
s__Dialister_micraerophilus	<= 21 vs > 21	8,66E-01	-4,69E-02	9,36E-01
s__Finegoldia_magna	<= 38 vs > 38	8,69E-01	-8,53E-03	9,36E-01
s__Dialister_micraerophilus	<= 28 vs > 28	8,69E-01	-1,75E-02	9,36E-01
s__Megasphaera_lornae	<= 21 vs > 21	8,68E-01	-5,39E-02	9,36E-01
s__Megasphaera_hutchinsoni	<= 20 vs > 20	8,71E-01	5,85E-02	9,36E-01
s__Sneathia_sanguinegens	<= 25 vs > 25	8,71E-01	-2,54E-02	9,36E-01
f__Enterobacteriaceae	<= 45 vs > 45	8,74E-01	1,42E-02	9,38E-01
s__Fusobacterium_nucleatum	<= 23 vs > 23	8,76E-01	1,74E-02	9,39E-01
s__Streptococcus_anginosus	<= 42 vs > 42	8,77E-01	1,11E-02	9,40E-01
s__Coriobacteriales_bacterium	<= 20 vs > 20	8,79E-01	-5,66E-02	9,40E-01
s__Mageeibacillus_indolicus	<= 20 vs > 20	8,81E-01	-5,48E-02	9,42E-01
s__Prevotella_amnii	<= 33 vs > 33	8,85E-01	-1,31E-02	9,45E-01
s__Lactobacillus_jensenii	<= 27 vs > 27	8,86E-01	-1,44E-02	9,45E-01
s__Lactobacillus_vaginalis	<= 39 vs > 39	8,87E-01	1,24E-02	9,46E-01
s__Lactobacillus_vaginalis	<= 32 vs > 32	8,93E-01	-1,19E-02	9,50E-01
s__Finegoldia_magna	<= 36 vs > 36	8,94E-01	6,74E-03	9,50E-01
g__Shuttleworthia	<= 25 vs > 25	8,93E-01	1,31E-02	9,50E-01
f__Enterobacteriaceae	<= 46 vs > 46	8,95E-01	1,32E-02	9,50E-01
s__Lactobacillus_vaginalis	<= 27 vs > 27	8,99E-01	1,58E-02	9,53E-01
s__Prevotella_amnii	<= 25 vs > 25	9,03E-01	1,94E-02	9,54E-01
s__Prevotella_timonensis	<= 23 vs > 23	9,03E-01	2,54E-02	9,54E-01
s__Streptococcus_anginosus	<= 23 vs > 23	9,03E-01	1,86E-02	9,54E-01
s__Lactobacillus_vaginalis	<= 49 vs > 49	9,12E-01	2,78E-02	9,63E-01
s__Dialister_micraerophilus	<= 26 vs > 26	9,15E-01	1,36E-02	9,65E-01
s__Bifidobacterium_dentium	<= 46 vs > 46	9,17E-01	-8,81E-03	9,65E-01
s__Fusobacterium_nucleatum	<= 29 vs > 29	9,17E-01	-5,87E-03	9,65E-01
s__Bifidobacterium_dentium	<= 30 vs > 30	9,23E-01	-6,03E-03	9,70E-01
s__Aerococcus_christensenii	<= 36 vs > 36	9,26E-01	-7,02E-03	9,71E-01
s__Lactobacillus_iners	<= 52 vs > 52	9,25E-01	3,03E-02	9,71E-01
g__Shuttleworthia	<= 22 vs > 22	9,25E-01	-1,55E-02	9,71E-01
s__Dialister_micraerophilus	<= 22 vs > 22	9,28E-01	2,10E-02	9,72E-01
s__Lactobacillus_vaginalis	<= 31 vs > 31	9,31E-01	-7,99E-03	9,74E-01
s__Gardnerella_vaginalis	<= 26 vs > 26	9,33E-01	-7,32E-03	9,75E-01
s__Prevotella_timonensis	<= 21 vs > 21	9,36E-01	-2,36E-02	9,76E-01
s__Lactobacillus_jensenii	<= 31 vs > 31	9,36E-01	-6,05E-03	9,76E-01
s__Veillonella_montpellierensis	<= 24 vs > 24	9,38E-01	1,02E-02	9,77E-01
s__Tissierellia_bacterium	<= 20 vs > 20	9,40E-01	-2,84E-02	9,78E-01
s__Bifidobacterium_dentium	<= 44 vs > 44	9,44E-01	-5,16E-03	9,80E-01
s__Bifidobacterium_dentium	<= 48 vs > 48	9,49E-01	7,84E-03	9,80E-01
s__Bifidobacterium_dentium	<= 52 vs > 52	9,44E-01	3,51E-02	9,80E-01
s__Prevotella_amnii	<= 28 vs > 28	9,48E-01	7,73E-03	9,80E-01
s__Lactobacillus_jensenii	<= 52 vs > 52	9,50E-01	-3,31E-02	9,80E-01
s__Fusobacterium_nucleatum	<= 25 vs > 25	9,49E-01	-5,13E-03	9,80E-01
s__Sneathia_amnii	<= 33 vs > 33	9,48E-01	-5,73E-03	9,80E-01
s__Sneathia_sanguinegens	<= 52 vs > 52	9,46E-01	5,97E-02	9,80E-01
f__Enterobacteriaceae	<= 24 vs > 24	9,48E-01	-8,88E-03	9,80E-01
s__Gardnerella_vaginalis	<= 20 vs > 20	9,53E-01	1,81E-02	9,81E-01
s__Prevotella_timonensis	<= 22 vs > 22	9,54E-01	-1,42E-02	9,81E-01
s__Veillonella_montpellierensis	<= 25 vs > 25	9,52E-01	6,86E-03	9,81E-01
s__Prevotella_timonensis	<= 29 vs > 29	9,57E-01	-5,58E-03	9,83E-01
f__Enterobacteriaceae	<= 32 vs > 32	9,58E-01	-3,45E-03	9,83E-01
s__Prevotella_bivia	<= 35 vs > 35	9,60E-01	-3,84E-03	9,84E-01
s__Lactobacillus_gasseri	<= 26 vs > 26	9,61E-01	-7,04E-03	9,84E-01
s__Bifidobacterium_breve	<= 38 vs > 38	9,62E-01	-3,27E-03	9,84E-01
s__Bifidobacterium_breve	<= 35 vs > 35	9,66E-01	2,86E-03	9,87E-01
s__Finegoldia_magna	<= 21 vs > 21	9,68E-01	-8,10E-03	9,88E-01
s__Gardnerella_vaginalis	<= 31 vs > 31	9,70E-01	2,13E-03	9,89E-01
s__Mageeibacillus_indolicus	<= 50 vs > 50	9,72E-01	-1,42E-02	9,90E-01
s__Finegoldia_magna	<= 32 vs > 32	9,72E-01	1,88E-03	9,90E-01
s__Prevotella_bivia	<= 37 vs > 37	9,75E-01	-2,47E-03	9,90E-01
s__Lactobacillus_jensenii	<= 30 vs > 30	9,75E-01	2,53E-03	9,90E-01
s__Gardnerella_vaginalis	<= 22 vs > 22	9,78E-01	-5,34E-03	9,91E-01
s__Lactobacillus_gasseri	<= 28 vs > 28	9,78E-01	3,22E-03	9,91E-01
s__Sneathia_amnii	<= 27 vs > 27	9,77E-01	-3,59E-03	9,91E-01
s__Prevotella_timonensis	<= 20 vs > 20	9,80E-01	-9,74E-03	9,91E-01
s__Lactobacillus_vaginalis	<= 38 vs > 38	9,83E-01	1,81E-03	9,93E-01
s__Fusobacterium_nucleatum	<= 49 vs > 49	9,83E-01	-3,13E-03	9,93E-01
s__Prevotella_amnii	<= 27 vs > 27	9,85E-01	2,39E-03	9,94E-01
s__Bifidobacterium_dentium	<= 29 vs > 29	9,86E-01	-1,13E-03	9,94E-01
s__Prevotella_bivia	<= 36 vs > 36	9,88E-01	1,18E-03	9,94E-01
s__Streptococcus_anginosus	<= 43 vs > 43	9,88E-01	-1,12E-03	9,94E-01
s__Prevotella_colorans	<= 20 vs > 20	9,97E-01	1,19E-03	9,98E-01
s__Lactobacillus_iners	<= 26 vs > 26	9,95E-01	3,33E-04	9,98E-01
s__Streptococcus_anginosus	<= 46 vs > 46	9,94E-01	7,16E-04	9,98E-01
s__Allisonella_histaminiformans	<= 21 vs > 21	9,97E-01	-1,19E-03	9,98E-01
f__Enterobacteriaceae	<= 41 vs > 41	9,93E-01	5,83E-04	9,98E-01
s__Dialister_micraerophilus	<= 32 vs > 32	9,99E-01	-1,49E-04	9,99E-01
