Bacteria	Feature	estimate	se	t	p value	N	FDR
s__Lactobacillus_gasseri	BIRTH_CONTROL3	1,17E-01	1,37E-01	8,54E-01	3,93E-01	3679	7,57E-01
s__Streptococcus_anginosus	BMI	9,47E-03	1,10E-02	8,64E-01	3,88E-01	5437	7,57E-01
s__Prevotella_colorans	ETHINIC	1,30E-01	1,52E-01	8,56E-01	3,92E-01	5133	7,57E-01
s__Bifidobacterium_dentium	ETHINIC	-1,14E-01	1,32E-01	-8,64E-01	3,88E-01	5133	7,57E-01
f__Enterobacteriaceae	EXA_CERBLE	-8,87E-02	1,04E-01	-8,53E-01	3,94E-01	4782	7,57E-01
s__Finegoldia_magna	EXA_CERDIS	-9,73E-02	1,14E-01	-8,53E-01	3,94E-01	4864	7,57E-01
s__Lactobacillus_jensenii	EXA_CERECT	-9,92E-02	1,15E-01	-8,60E-01	3,90E-01	3625	7,57E-01
s__Tissierellia_bacterium	INCOME2	-1,19E-01	1,38E-01	-8,62E-01	3,89E-01	2656	7,57E-01
s__Lactobacillus_vaginalis	INCOME2	-1,33E-01	1,56E-01	-8,54E-01	3,93E-01	2656	7,57E-01
s__Bifidobacterium_dentium	MENSTRUAL_PHASE_REG2	1,31E-01	1,52E-01	8,65E-01	3,87E-01	3657	7,57E-01
s__Streptococcus_anginosus	MENSTRUAL_REGULAR	-1,02E-01	1,20E-01	-8,57E-01	3,92E-01	4899	7,57E-01
s__Bifidobacterium_breve	PARITY2	1,14E-01	1,33E-01	8,58E-01	3,91E-01	2832	7,57E-01
s__Finegoldia_magna	SYM_ABDPAIN	7,00E-02	8,21E-02	8,53E-01	3,94E-01	5321	7,57E-01
s__Streptococcus_anginosus	SYM_BLEDDING	1,06E-01	1,24E-01	8,56E-01	3,92E-01	5298	7,57E-01
s__Fusobacterium_nucleatum	ADVERSE_PREGNANCY2	-8,02E-02	9,44E-02	-8,49E-01	3,96E-01	3519	7,59E-01
s__Lactobacillus_vaginalis	AGE	5,41E-03	6,40E-03	8,46E-01	3,98E-01	5437	7,60E-01
s__Fusobacterium_nucleatum	SEX72	1,45E-01	1,71E-01	8,47E-01	3,97E-01	4976	7,60E-01
s__Bifidobacterium_breve	WAISTLINE	5,75E-03	6,80E-03	8,45E-01	3,98E-01	1975	7,60E-01
s__Gardnerella_vaginalis	GRAVITY1	-9,35E-02	1,11E-01	-8,42E-01	4,00E-01	1854	7,60E-01
s__Lactobacillus_iners	SEX_PARTNER_CAT	-9,24E-02	1,10E-01	-8,44E-01	3,99E-01	5165	7,60E-01
g__Shuttleworthia	SYM_YYD	8,81E-02	1,05E-01	8,42E-01	4,00E-01	5198	7,60E-01
s__Fusobacterium_nucleatum	MENSTRUAL_PHASE_REG2	1,08E-01	1,29E-01	8,39E-01	4,01E-01	3657	7,60E-01
s__Coriobacteriales_bacterium	PARITY1	1,24E-01	1,48E-01	8,40E-01	4,01E-01	3122	7,60E-01
s__Streptococcus_anginosus	PS_DIABETES	2,05E-01	2,44E-01	8,39E-01	4,02E-01	5297	7,60E-01
s__Gardnerella_vaginalis	BIRTH_CONTROL1	-1,07E-01	1,29E-01	-8,29E-01	4,07E-01	1275	7,63E-01
s__Sneathia_amnii	DRUG_GLULIP	3,79E-01	4,55E-01	8,33E-01	4,05E-01	4827	7,63E-01
s__Atopobium_vaginae	EXA_CERDIS	1,01E-01	1,22E-01	8,31E-01	4,06E-01	4864	7,63E-01
g__Shuttleworthia	GRAVITY1	8,74E-02	1,05E-01	8,31E-01	4,06E-01	1854	7,63E-01
s__Bifidobacterium_dentium	SEX_PARTNER_CAT	1,30E-01	1,56E-01	8,32E-01	4,06E-01	5165	7,63E-01
s__Veillonella_montpellierensis	SMOKING_CAT	1,47E-01	1,77E-01	8,29E-01	4,07E-01	5246	7,63E-01
s__Megasphaera_lornae	WAISTLINE	8,23E-03	9,93E-03	8,29E-01	4,07E-01	1975	7,63E-01
s__Lactobacillus_iners	EXA_CERDIS	-6,46E-02	7,81E-02	-8,26E-01	4,09E-01	4864	7,64E-01
s__Mageeibacillus_indolicus	ETHINIC	1,73E-01	2,12E-01	8,19E-01	4,13E-01	5133	7,71E-01
s__Veillonella_montpellierensis	EXA_CERBLE	1,14E-01	1,39E-01	8,18E-01	4,13E-01	4782	7,71E-01
s__Ureaplasma_parvum	SYM_YYD	1,14E-01	1,41E-01	8,06E-01	4,20E-01	5198	7,83E-01
s__Atopobium_vaginae	ADVERSE_PREGNANCY1	7,68E-02	9,79E-02	7,84E-01	4,33E-01	3704	7,86E-01
g__Shuttleworthia	ADVERSE_PREGNANCY1	7,03E-02	8,79E-02	8,00E-01	4,24E-01	3704	7,86E-01
s__Megasphaera_hutchinsoni	ADVERSE_PREGNANCY2	-1,23E-01	1,54E-01	-8,01E-01	4,23E-01	3519	7,86E-01
s__Atopobium_vaginae	DRUG_ESTROGEN	-2,47E-01	3,10E-01	-7,97E-01	4,25E-01	4825	7,86E-01
s__Bifidobacterium_dentium	DRUG_GLULIP	2,28E-01	2,88E-01	7,93E-01	4,28E-01	4827	7,86E-01
s__Anaerococcus_tetradius	DRUG_GLULIP	2,86E-01	3,65E-01	7,85E-01	4,33E-01	4827	7,86E-01
s__Bifidobacterium_breve	ETHINIC	1,32E-01	1,68E-01	7,83E-01	4,34E-01	5133	7,86E-01
s__Lactobacillus_vaginalis	GRAVITY1	-1,41E-01	1,79E-01	-7,85E-01	4,33E-01	1854	7,86E-01
s__Ureaplasma_parvum	GRAVITY2	-1,12E-01	1,41E-01	-7,95E-01	4,27E-01	3991	7,86E-01
s__Bifidobacterium_breve	GRAVITY2	1,01E-01	1,27E-01	7,92E-01	4,29E-01	3991	7,86E-01
s__Prevotella_bivia	INCOME1	-1,09E-01	1,37E-01	-7,94E-01	4,27E-01	2471	7,86E-01
s__Sneathia_amnii	MENSTRUAL_PHASE_REG2	1,97E-01	2,48E-01	7,98E-01	4,25E-01	3657	7,86E-01
s__Lactobacillus_crispatus	MENSTRUAL_PHASE_REG2	-1,00E-01	1,28E-01	-7,84E-01	4,33E-01	3657	7,86E-01
s__Mageeibacillus_indolicus	MENSTRUAL_PHASE_REG3	-8,15E-02	1,03E-01	-7,94E-01	4,27E-01	3657	7,86E-01
s__Gardnerella_vaginalis	MENSTRUAL_REGULAR	7,96E-02	1,02E-01	7,83E-01	4,34E-01	4899	7,86E-01
s__Allisonella_histaminiformans	PS_HYPERTENSION	2,14E-01	2,71E-01	7,90E-01	4,30E-01	5296	7,86E-01
s__Mageeibacillus_indolicus	SEX72	2,40E-01	3,07E-01	7,82E-01	4,34E-01	4976	7,86E-01
s__Allisonella_histaminiformans	SYM_ITCHING	7,64E-02	9,69E-02	7,88E-01	4,31E-01	5347	7,86E-01
s__Sneathia_amnii	SYM_YYD	1,27E-01	1,63E-01	7,83E-01	4,34E-01	5198	7,86E-01
s__Bifidobacterium_dentium	SYM_YYD	8,06E-02	1,02E-01	7,88E-01	4,31E-01	5198	7,86E-01
s__Lactobacillus_iners	EXA_ORDOR	-6,26E-02	8,07E-02	-7,75E-01	4,38E-01	4810	7,91E-01
s__Prevotella_bivia	MENSTRUAL_REGULAR	1,17E-01	1,51E-01	7,75E-01	4,38E-01	4899	7,91E-01
s__Aerococcus_christensenii	PARITY1	-1,06E-01	1,37E-01	-7,74E-01	4,39E-01	3122	7,91E-01
s__Ureaplasma_parvum	SYM_URIOSP	8,29E-02	1,07E-01	7,73E-01	4,39E-01	5300	7,91E-01
s__Prevotella_bivia	MENSTRUAL_PHASE_REG2	-1,78E-01	2,33E-01	-7,66E-01	4,44E-01	3657	7,98E-01
s__Sneathia_amnii	BMI	1,12E-02	1,47E-02	7,64E-01	4,45E-01	5437	7,99E-01
s__Prevotella_timonensis	PS_DIABETES	-2,44E-01	3,20E-01	-7,63E-01	4,45E-01	5297	7,99E-01
s__Sneathia_amnii	ADVERSE_PREGNANCY1	-1,09E-01	1,44E-01	-7,58E-01	4,49E-01	3704	8,01E-01
s__Mageeibacillus_indolicus	EXA_VAGWAL	-1,65E-01	2,18E-01	-7,57E-01	4,49E-01	4793	8,01E-01
s__Veillonella_montpellierensis	PARITY1	-8,67E-02	1,14E-01	-7,59E-01	4,48E-01	3122	8,01E-01
s__Finegoldia_magna	WAISTLINE	-4,58E-03	6,02E-03	-7,60E-01	4,47E-01	1975	8,01E-01
s__Prevotella_bivia	GRAVITY2	-1,17E-01	1,55E-01	-7,54E-01	4,51E-01	3991	8,02E-01
s__Finegoldia_magna	MENSTRUAL_PHASE_REG3	-5,02E-02	6,66E-02	-7,54E-01	4,51E-01	3657	8,02E-01
s__Dialister_micraerophilus	DRUG_ANTIBIOTICS	-2,35E-01	3,13E-01	-7,51E-01	4,52E-01	4828	8,03E-01
s__Anaerococcus_tetradius	EXA_CERECT	-8,73E-02	1,16E-01	-7,52E-01	4,52E-01	3625	8,03E-01
s__Gardnerella_vaginalis	MENSTRUAL_PHASE_REG2	1,20E-01	1,60E-01	7,46E-01	4,56E-01	3657	8,08E-01
s__Allisonella_histaminiformans	DRUG_ESTROGEN	3,18E-01	4,31E-01	7,39E-01	4,60E-01	4825	8,13E-01
s__Prevotella_timonensis	SYM_URIOSP	-8,92E-02	1,21E-01	-7,38E-01	4,61E-01	5300	8,14E-01
s__Streptococcus_anginosus	BIRTH_CONTROL2	1,87E-01	2,55E-01	7,32E-01	4,64E-01	889	8,16E-01
s__Lactobacillus_iners	BIRTH_CONTROL2	1,15E-01	1,59E-01	7,23E-01	4,70E-01	889	8,16E-01
s__Lactobacillus_crispatus	BIRTH_CONTROL2	1,34E-01	1,85E-01	7,22E-01	4,71E-01	889	8,16E-01
s__Dialister_micraerophilus	BIRTH_CONTROL2	-2,53E-01	3,50E-01	-7,21E-01	4,71E-01	889	8,16E-01
s__Prevotella_timonensis	INCOME1	-1,02E-01	1,41E-01	-7,25E-01	4,68E-01	2471	8,16E-01
s__Prevotella_amnii	INCOME2	-1,14E-01	1,57E-01	-7,23E-01	4,70E-01	2656	8,16E-01
g__Shuttleworthia	PARITY1	6,68E-02	9,25E-02	7,23E-01	4,70E-01	3122	8,16E-01
s__Anaerococcus_tetradius	PS_DIABETES	-1,96E-01	2,68E-01	-7,31E-01	4,65E-01	5297	8,16E-01
s__Tissierellia_bacterium	PS_HYPERTENSION	1,88E-01	2,59E-01	7,25E-01	4,68E-01	5296	8,16E-01
s__Megasphaera_hutchinsoni	PS_UTI	9,91E-02	1,36E-01	7,29E-01	4,66E-01	5217	8,16E-01
s__Fusobacterium_nucleatum	SYM_PAINBLE	6,11E-02	8,43E-02	7,25E-01	4,69E-01	5305	8,16E-01
g__Shuttleworthia	SYM_PAINBLE	7,14E-02	9,90E-02	7,21E-01	4,71E-01	5305	8,16E-01
s__Sneathia_amnii	SYM_URIOSP	-8,95E-02	1,24E-01	-7,24E-01	4,69E-01	5300	8,16E-01
s__Gardnerella_vaginalis	SYM_YYD	7,44E-02	1,03E-01	7,25E-01	4,69E-01	5198	8,16E-01
s__Prevotella_amnii	WAISTLINE	7,67E-03	1,05E-02	7,34E-01	4,63E-01	1975	8,16E-01
s__Bifidobacterium_dentium	BIRTH_CONTROL3	-6,22E-02	8,69E-02	-7,16E-01	4,74E-01	3679	8,17E-01
s__Allisonella_histaminiformans	MENSTRUAL_PHASE_REG3	-7,03E-02	9,80E-02	-7,18E-01	4,73E-01	3657	8,17E-01
s__Aerococcus_christensenii	MENSTRUAL_REGULAR	-1,03E-01	1,44E-01	-7,17E-01	4,73E-01	4899	8,17E-01
g__Shuttleworthia	GRAVITY2	7,60E-02	1,06E-01	7,14E-01	4,75E-01	3991	8,17E-01
s__Atopobium_vaginae	INCOME2	-7,35E-02	1,03E-01	-7,13E-01	4,76E-01	2656	8,17E-01
s__Ureaplasma_parvum	PS_UTI	9,39E-02	1,32E-01	7,13E-01	4,76E-01	5217	8,17E-01
s__Finegoldia_magna	BIRTH_CONTROL3	6,33E-02	8,93E-02	7,09E-01	4,78E-01	3679	8,19E-01
s__Coriobacteriales_bacterium	BMI	1,01E-02	1,44E-02	7,06E-01	4,80E-01	5437	8,19E-01
s__Ureaplasma_parvum	DRUG_ANTIBIOTICS	2,01E-01	2,85E-01	7,08E-01	4,79E-01	4828	8,19E-01
s__Mageeibacillus_indolicus	GRAVITY2	1,14E-01	1,60E-01	7,09E-01	4,78E-01	3991	8,19E-01
s__Bifidobacterium_breve	SEX72	-1,69E-01	2,40E-01	-7,06E-01	4,80E-01	4976	8,19E-01
s__Anaerococcus_tetradius	ADVERSE_PREGNANCY1	8,17E-02	1,16E-01	7,05E-01	4,81E-01	3704	8,19E-01
s__Gardnerella_vaginalis	SYM_URIOSP	5,48E-02	7,79E-02	7,04E-01	4,81E-01	5300	8,19E-01
s__Prevotella_colorans	SYM_ITCHING	5,10E-02	7,26E-02	7,03E-01	4,82E-01	5347	8,20E-01
s__Prevotella_timonensis	EDU_CAT1	6,92E-02	9,87E-02	7,01E-01	4,83E-01	4412	8,20E-01
s__Megasphaera_hutchinsoni	BIRTH_CONTROL1	1,34E-01	1,93E-01	6,94E-01	4,88E-01	1275	8,21E-01
s__Mageeibacillus_indolicus	DRUG_ESTROGEN	-3,10E-01	4,47E-01	-6,94E-01	4,88E-01	4825	8,21E-01
s__Dialister_micraerophilus	DRUG_ESTROGEN	-3,02E-01	4,33E-01	-6,97E-01	4,86E-01	4825	8,21E-01
s__Lactobacillus_vaginalis	EDU_CAT1	-7,24E-02	1,04E-01	-6,96E-01	4,86E-01	4412	8,21E-01
s__Fusobacterium_nucleatum	EXA_CERECT	5,34E-02	7,71E-02	6,93E-01	4,88E-01	3625	8,21E-01
s__Bifidobacterium_dentium	INCOME2	6,43E-02	9,28E-02	6,93E-01	4,88E-01	2656	8,21E-01
s__Megasphaera_hutchinsoni	MENSTRUAL_PHASE_REG1	-6,42E-02	9,26E-02	-6,93E-01	4,88E-01	3657	8,21E-01
s__Mageeibacillus_indolicus	MENSTRUAL_PHASE_REG2	1,69E-01	2,42E-01	6,98E-01	4,85E-01	3657	8,21E-01
s__Prevotella_amnii	BIRTH_CONTROL1	-1,54E-01	2,23E-01	-6,91E-01	4,90E-01	1275	8,21E-01
s__Sneathia_amnii	INCOME2	1,06E-01	1,53E-01	6,91E-01	4,90E-01	2656	8,21E-01
s__Lactobacillus_vaginalis	MENSTRUAL_REGULAR	1,13E-01	1,64E-01	6,88E-01	4,91E-01	4899	8,22E-01
s__Mageeibacillus_indolicus	ADVERSE_PREGNANCY2	-1,16E-01	1,69E-01	-6,84E-01	4,94E-01	3519	8,24E-01
s__Megasphaera_lornae	ALCOHOL_CAT	-7,05E-02	1,04E-01	-6,75E-01	5,00E-01	5279	8,24E-01
s__Veillonella_montpellierensis	BMI	7,71E-03	1,14E-02	6,76E-01	4,99E-01	5437	8,24E-01
s__Tissierellia_bacterium	EXA_CERDIS	1,08E-01	1,59E-01	6,80E-01	4,96E-01	4864	8,24E-01
s__Lactobacillus_vaginalis	EXA_CERDIS	1,23E-01	1,82E-01	6,77E-01	4,98E-01	4864	8,24E-01
s__Gardnerella_vaginalis	EXA_ORDOR	7,98E-02	1,17E-01	6,81E-01	4,96E-01	4810	8,24E-01
s__Lactobacillus_gasseri	EXA_VAGWAL	-1,48E-01	2,20E-01	-6,74E-01	5,00E-01	4793	8,24E-01
s__Tissierellia_bacterium	GRAVITY2	-9,98E-02	1,47E-01	-6,78E-01	4,98E-01	3991	8,24E-01
s__Prevotella_timonensis	GRAVITY2	-1,08E-01	1,59E-01	-6,78E-01	4,98E-01	3991	8,24E-01
s__Lactobacillus_vaginalis	MENSTRUAL_PHASE_REG3	7,26E-02	1,07E-01	6,76E-01	4,99E-01	3657	8,24E-01
s__Lactobacillus_iners	PS_HYPERTENSION	8,52E-02	1,26E-01	6,73E-01	5,01E-01	5296	8,24E-01
s__Lactobacillus_vaginalis	SYM_ITCHING	7,15E-02	1,05E-01	6,78E-01	4,98E-01	5347	8,24E-01
s__Megasphaera_hutchinsoni	WAISTLINE	-6,17E-03	9,09E-03	-6,79E-01	4,97E-01	1975	8,24E-01
s__Aerococcus_christensenii	EXA_VAGWAL	-1,34E-01	2,00E-01	-6,71E-01	5,02E-01	4793	8,25E-01
s__Allisonella_histaminiformans	MENSTRUAL_PHASE_REG2	1,55E-01	2,31E-01	6,71E-01	5,02E-01	3657	8,25E-01
s__Megasphaera_lornae	SYM_ABDPAIN	-8,78E-02	1,31E-01	-6,69E-01	5,04E-01	5321	8,26E-01
s__Prevotella_timonensis	BIRTH_CONTROL2	-2,36E-01	3,53E-01	-6,68E-01	5,04E-01	889	8,26E-01
s__Bifidobacterium_breve	AGE	-3,23E-03	4,85E-03	-6,66E-01	5,06E-01	5437	8,27E-01
s__Prevotella_colorans	SYM_ABDPAIN	5,93E-02	8,94E-02	6,63E-01	5,07E-01	5321	8,28E-01
s__Bifidobacterium_dentium	SYM_URIOSP	5,18E-02	7,81E-02	6,64E-01	5,07E-01	5300	8,28E-01
s__Prevotella_bivia	MENSTRUAL_PHASE_REG1	6,58E-02	9,95E-02	6,62E-01	5,08E-01	3657	8,28E-01
s__Allisonella_histaminiformans	EDU_CAT1	6,19E-02	9,39E-02	6,60E-01	5,10E-01	4412	8,29E-01
s__Streptococcus_anginosus	SEX_PARTNER_CAT	1,23E-01	1,87E-01	6,56E-01	5,12E-01	5165	8,32E-01
s__Mageeibacillus_indolicus	BIRTH_CONTROL2	-2,36E-01	3,62E-01	-6,50E-01	5,16E-01	889	8,37E-01
s__Finegoldia_magna	ALCOHOL_CAT	-4,16E-02	6,50E-02	-6,40E-01	5,22E-01	5279	8,47E-01
s__Sneathia_sanguinegens	DRUG_ANTIBIOTICS	2,13E-01	3,39E-01	6,27E-01	5,31E-01	4828	8,49E-01
s__Megasphaera_hutchinsoni	ETHINIC	1,20E-01	1,91E-01	6,27E-01	5,31E-01	5133	8,49E-01
s__Megasphaera_lornae	EXA_CERDIS	-1,15E-01	1,82E-01	-6,28E-01	5,30E-01	4864	8,49E-01
s__Anaerococcus_tetradius	EXA_CERDIS	9,14E-02	1,44E-01	6,37E-01	5,24E-01	4864	8,49E-01
s__Ureaplasma_parvum	EXA_CERECT	-7,89E-02	1,25E-01	-6,31E-01	5,28E-01	3625	8,49E-01
s__Prevotella_amnii	GRAVITY1	1,13E-01	1,79E-01	6,32E-01	5,28E-01	1854	8,49E-01
s__Fusobacterium_nucleatum	MENSTRUAL_PHASE_REG1	-3,48E-02	5,50E-02	-6,32E-01	5,27E-01	3657	8,49E-01
s__Ureaplasma_parvum	SEX_PARTNER_CAT	1,37E-01	2,17E-01	6,31E-01	5,28E-01	5165	8,49E-01
s__Bifidobacterium_breve	SYM_ITCHING	5,05E-02	7,98E-02	6,32E-01	5,27E-01	5347	8,49E-01
s__Lactobacillus_vaginalis	SYM_URIOSP	-7,96E-02	1,27E-01	-6,28E-01	5,30E-01	5300	8,49E-01
s__Coriobacteriales_bacterium	WAISTLINE	-6,11E-03	9,67E-03	-6,32E-01	5,28E-01	1975	8,49E-01
s__Anaerococcus_tetradius	MENSTRUAL_PHASE_REG1	5,45E-02	8,70E-02	6,26E-01	5,31E-01	3657	8,49E-01
s__Veillonella_montpellierensis	ALCOHOL_CAT	4,86E-02	7,81E-02	6,22E-01	5,34E-01	5279	8,49E-01
s__Streptococcus_anginosus	BIRTH_CONTROL3	6,41E-02	1,03E-01	6,22E-01	5,34E-01	3679	8,49E-01
s__Bifidobacterium_breve	BIRTH_CONTROL3	6,75E-02	1,08E-01	6,25E-01	5,32E-01	3679	8,49E-01
g__Shuttleworthia	SYM_ABDPAIN	5,12E-02	8,22E-02	6,22E-01	5,34E-01	5321	8,49E-01
s__Prevotella_bivia	AGE	-3,61E-03	5,86E-03	-6,17E-01	5,37E-01	5437	8,50E-01
s__Aerococcus_christensenii	BMI	8,13E-03	1,32E-02	6,15E-01	5,39E-01	5437	8,50E-01
s__Fusobacterium_nucleatum	EXA_CERDIS	5,94E-02	9,66E-02	6,15E-01	5,39E-01	4864	8,50E-01
s__Megasphaera_hutchinsoni	GRAVITY2	9,03E-02	1,47E-01	6,13E-01	5,40E-01	3991	8,50E-01
s__Anaerococcus_tetradius	MENSTRUAL_PHASE_REG2	-1,25E-01	2,04E-01	-6,15E-01	5,39E-01	3657	8,50E-01
s__Tissierellia_bacterium	PS_UTI	-8,37E-02	1,36E-01	-6,15E-01	5,39E-01	5217	8,50E-01
s__Allisonella_histaminiformans	PS_UTI	-8,76E-02	1,43E-01	-6,14E-01	5,39E-01	5217	8,50E-01
s__Allisonella_histaminiformans	SYM_BLEDDING	9,65E-02	1,56E-01	6,18E-01	5,36E-01	5298	8,50E-01
s__Sneathia_sanguinegens	ADVERSE_PREGNANCY2	-1,07E-01	1,76E-01	-6,05E-01	5,45E-01	3519	8,53E-01
s__Finegoldia_magna	AGE	-2,42E-03	4,04E-03	-6,00E-01	5,49E-01	5437	8,53E-01
s__Anaerococcus_tetradius	BMI	-7,30E-03	1,20E-02	-6,08E-01	5,44E-01	5437	8,53E-01
g__Shuttleworthia	BMI	5,78E-03	9,51E-03	6,08E-01	5,43E-01	5437	8,53E-01
f__Enterobacteriaceae	GRAVITY1	-6,02E-02	9,93E-02	-6,06E-01	5,44E-01	1854	8,53E-01
s__Aerococcus_christensenii	PS_DIABETES	1,79E-01	2,96E-01	6,06E-01	5,44E-01	5297	8,53E-01
s__Fusobacterium_nucleatum	PS_HYPERTENSION	9,51E-02	1,59E-01	6,00E-01	5,49E-01	5296	8,53E-01
s__Fusobacterium_nucleatum	SEX_PARTNER_CAT	8,21E-02	1,37E-01	6,01E-01	5,48E-01	5165	8,53E-01
s__Gardnerella_vaginalis	SEX72	1,20E-01	1,99E-01	6,01E-01	5,48E-01	4976	8,53E-01
s__Mageeibacillus_indolicus	SYM_ITCHING	-6,07E-02	1,01E-01	-6,04E-01	5,46E-01	5347	8,53E-01
s__Sneathia_amnii	WAISTLINE	6,23E-03	1,03E-02	6,02E-01	5,47E-01	1975	8,53E-01
s__Prevotella_amnii	DRUG_ANTIBIOTICS	-2,05E-01	3,44E-01	-5,97E-01	5,50E-01	4828	8,54E-01
s__Lactobacillus_vaginalis	MENSTRUAL_PHASE_REG2	-1,51E-01	2,53E-01	-5,96E-01	5,51E-01	3657	8,54E-01
s__Prevotella_colorans	BIRTH_CONTROL2	1,60E-01	2,69E-01	5,93E-01	5,53E-01	889	8,54E-01
s__Atopobium_vaginae	INCOME1	5,71E-02	9,62E-02	5,94E-01	5,53E-01	2471	8,54E-01
s__Lactobacillus_gasseri	SEX72	1,84E-01	3,11E-01	5,93E-01	5,53E-01	4976	8,54E-01
g__Shuttleworthia	ADVERSE_PREGNANCY2	-6,14E-02	1,05E-01	-5,87E-01	5,57E-01	3519	8,58E-01
s__Anaerococcus_tetradius	DRUG_ANTIBIOTICS	1,58E-01	2,68E-01	5,89E-01	5,56E-01	4828	8,58E-01
s__Sneathia_sanguinegens	INCOME2	-9,02E-02	1,54E-01	-5,87E-01	5,57E-01	2656	8,58E-01
s__Lactobacillus_jensenii	INCOME1	6,40E-02	1,10E-01	5,83E-01	5,60E-01	2471	8,58E-01
s__Prevotella_amnii	PS_DIABETES	-1,97E-01	3,39E-01	-5,81E-01	5,62E-01	5297	8,58E-01
s__Fusobacterium_nucleatum	PS_DIABETES	1,05E-01	1,80E-01	5,81E-01	5,61E-01	5297	8,58E-01
s__Bifidobacterium_dentium	PS_UTI	5,60E-02	9,62E-02	5,82E-01	5,61E-01	5217	8,58E-01
s__Tissierellia_bacterium	SYM_ABDPAIN	-6,63E-02	1,14E-01	-5,82E-01	5,60E-01	5321	8,58E-01
s__Mageeibacillus_indolicus	SYM_BLEDDING	9,44E-02	1,62E-01	5,83E-01	5,60E-01	5298	8,58E-01
s__Prevotella_bivia	BMI	7,96E-03	1,38E-02	5,78E-01	5,63E-01	5437	8,59E-01
s__Prevotella_amnii	BMI	8,73E-03	1,52E-02	5,73E-01	5,66E-01	5437	8,59E-01
s__Lactobacillus_gasseri	EDU_CAT1	-5,81E-02	1,01E-01	-5,75E-01	5,65E-01	4412	8,59E-01
s__Prevotella_amnii	GRAVITY2	9,75E-02	1,71E-01	5,72E-01	5,67E-01	3991	8,59E-01
s__Allisonella_histaminiformans	INCOME1	-7,46E-02	1,30E-01	-5,73E-01	5,66E-01	2471	8,59E-01
s__Aerococcus_christensenii	INCOME1	-7,35E-02	1,27E-01	-5,78E-01	5,63E-01	2471	8,59E-01
g__Shuttleworthia	SEX_PARTNER_CAT	9,23E-02	1,62E-01	5,72E-01	5,68E-01	5165	8,59E-01
s__Megasphaera_lornae	SMOKING_CAT	1,34E-01	2,36E-01	5,71E-01	5,68E-01	5246	8,59E-01
s__Aerococcus_christensenii	SYM_URIOSP	6,39E-02	1,11E-01	5,74E-01	5,66E-01	5300	8,59E-01
s__Prevotella_bivia	EXA_CERDIS	9,55E-02	1,68E-01	5,70E-01	5,69E-01	4864	8,59E-01
s__Mageeibacillus_indolicus	SYM_URIOSP	-6,86E-02	1,21E-01	-5,68E-01	5,70E-01	5300	8,60E-01
s__Prevotella_amnii	DRUG_ESTROGEN	2,68E-01	4,75E-01	5,64E-01	5,72E-01	4825	8,61E-01
s__Anaerococcus_tetradius	INCOME2	7,17E-02	1,27E-01	5,66E-01	5,72E-01	2656	8,61E-01
f__Enterobacteriaceae	PARITY1	5,08E-02	8,98E-02	5,65E-01	5,72E-01	3122	8,61E-01
s__Streptococcus_anginosus	MENSTRUAL_PHASE_REG2	-1,04E-01	1,85E-01	-5,63E-01	5,73E-01	3657	8,61E-01
s__Coriobacteriales_bacterium	ADVERSE_PREGNANCY2	-9,28E-02	1,69E-01	-5,50E-01	5,83E-01	3519	8,68E-01
g__Shuttleworthia	DRUG_ANTIBIOTICS	1,16E-01	2,11E-01	5,51E-01	5,82E-01	4828	8,68E-01
s__Sneathia_sanguinegens	EXA_CERDIS	9,97E-02	1,81E-01	5,52E-01	5,81E-01	4864	8,68E-01
s__Sneathia_amnii	EXA_CERDIS	-9,81E-02	1,79E-01	-5,49E-01	5,83E-01	4864	8,68E-01
s__Tissierellia_bacterium	PARITY1	7,50E-02	1,36E-01	5,53E-01	5,80E-01	3122	8,68E-01
s__Prevotella_amnii	PARITY2	-9,48E-02	1,72E-01	-5,52E-01	5,81E-01	2832	8,68E-01
f__Enterobacteriaceae	SYM_PAINBLE	5,05E-02	9,12E-02	5,54E-01	5,80E-01	5305	8,68E-01
s__Prevotella_bivia	DRUG_GLULIP	-2,33E-01	4,25E-01	-5,48E-01	5,84E-01	4827	8,69E-01
s__Streptococcus_anginosus	EXA_CERDIS	-7,23E-02	1,32E-01	-5,46E-01	5,85E-01	4864	8,69E-01
s__Bifidobacterium_dentium	EXA_ORDOR	-6,00E-02	1,10E-01	-5,46E-01	5,85E-01	4810	8,69E-01
g__Shuttleworthia	PS_UTI	5,27E-02	9,71E-02	5,43E-01	5,87E-01	5217	8,70E-01
s__Allisonella_histaminiformans	ADVERSE_PREGNANCY1	6,97E-02	1,33E-01	5,23E-01	6,01E-01	3704	8,76E-01
s__Anaerococcus_tetradius	ALCOHOL_CAT	-4,09E-02	8,24E-02	-4,97E-01	6,19E-01	5279	8,76E-01
s__Lactobacillus_gasseri	BIRTH_CONTROL1	-1,08E-01	2,01E-01	-5,36E-01	5,92E-01	1275	8,76E-01
s__Coriobacteriales_bacterium	BIRTH_CONTROL1	-1,02E-01	2,10E-01	-4,86E-01	6,27E-01	1275	8,76E-01
s__Lactobacillus_vaginalis	BIRTH_CONTROL2	1,90E-01	3,74E-01	5,08E-01	6,12E-01	889	8,76E-01
s__Lactobacillus_gasseri	BIRTH_CONTROL2	1,67E-01	3,40E-01	4,91E-01	6,23E-01	889	8,76E-01
